| Qty | Component / Part | Part Number | Source | Price |
| --- | --- | --- | --- | --- |
| 2 | Adafruit Multi-Hub Wheel (Universal 65mm, TT / LEGO / N20 compatible, Black) | ADA4205 | BerryBase | 3.90 CHF |
| 1 | Pololu Ball Caster (0.5 inch) | POL9533 | BerryBase | 2.70 CHF |
| 1 | HC-SR04 Ultrasonic Sensor | HC-SR04 | BerryBase | 1.49 CHF |
| 1 | BerryBase HackberryPi Zero BL5C Charger (incl. 1020mAh Battery with auto-cutoff) | BL5C-CHARGE | BerryBase | 7.20 CHF |
| 1 | Breadboard with 400 Tie-Points | BB-400P | BerryBase | 1.50 CHF |
| 1 | Jumper Wire Box / Set with 140 Jumpers (14 different lengths for Breadboards) | JUMPERBOX | BerryBase | 3.70 CHF |
| 1 | 40pin Jumper / Dupont Wire Set (1x F-F / M-M / F-M, 10cm) | DUPK-SET-10 | BerryBase | 4.40 CHF |
| 1 | 3-Pin Slide Switch for Breadboards | BB-SWITCH-3P | BerryBase | 0.55 CHF |
| 1 | M5Stack Servo Kit 360° | M5-A076-C | BerryBase | 10.80 CHF |
| 1 | Raspberry Pi Pico 2 (RP2350 Microcontroller Board, with Headers) | RPI.PICO2-H | BerryBase | 5.90 CHF |
| 1 | USB-A Cable (10cm) | - | - | 0.00 CHF |
